化合物,英文名,化学式,SMILES,分子量,DENSITY,CALORICITY,MELTING,
1-甲基-4-乙基苯,4-Ethyltoluene,C9H12,CC1=CC=C(CC)C=C1,0,0.8614,42.10 ,-62.35,
1-甲基-4-丙基苯,1-methyl-4-propylbenzene,C10H14,CC1=CC=C(CCC)C=C1,0,0.8001,42.45 ,-28.18,
正丙基苯,n-propylbenzene,C9H12,CCCC1=CC=CC=C1,0,0.8593,42.05 ,-99.5,
异丙基苯,Cumene ,C9H12,CC(C)C1=CC=CC=C1,0,0.864,42.11 ,-96.02,
丁基苯,Butylbenzene,C10H14,CCCCC1=CC=CC=C1,0,0.8601,42.45 ,-87.85,
异丁基苯,"sec-Butylbenzene,",C10H14,CC(C)CC1=CC=CC=C1,0,0.8621,42.45 ,-82.7,
"1,2,4-三甲基苯","1,2,4-trimethylbenzene",C9H12,CC1=C(C)C=C(C)C=C1,0,0.8758,42.04 ,-43.8,
"1-乙基-2,4-二甲基苯","1-Ethyl-2,4-dimethylbenzene",C10H14,CCC1=C(C)C=C(C)C=C1,0,0.8763,42.44 ,-62.9,
"1-乙基-3,5-二甲基苯","1-Ethyl-3,5-dimethylbenzene",C10H14,CCC1=CC(C)=CC(C)=C1,0,0.8608,42.44 ,-84.3,
"1,3-二甲基-2-乙基苯","2-Ethyl-1,3-dimethylbenzene",C10H14,CCC1=C(C)C=CC=C1C,0,0.8864,42.44 ,-16.2,
"1,4-二甲基-2-乙基苯","2-Ethyl-1,4-dimethylbenzene",C10H14,CCC1=CC(C)=CC=C1C,0,0.8732,42.44 ,-53.7,
"1,2-二甲基-3-乙基苯","3-Ethyl-1,2-dimethylbenzene",C10H14,CCC1=CC=CC(C)=C1C,0,0.8881,42.44 ,-49.5,
"1,2-二甲基-4-乙基苯","4-Ethyl-1,2-dimethylbenzene",C10H14,CC1=C(C)C=C(CC)C=C1,0,0.8706,42.44,-66.9,
1-叔丁基-2-甲基苯,1-tert-Butyl-2-methylbenzene,C11H16,CC(C)(C)C1=CC=CC=C1C,0,0.8897,42.72,-50.3,
1-叔丁基-3-甲基苯,1-tert-Butyl-3-methylbenzene,C11H16,CC(C)(C)C1=CC=CC(C)=C1,0,0.8657,42.72,-41.4,
2-甲基八氢戊烯,2-methyloctahydropentalene,C9H16,CC1CC2CCCC2C1,0,0.8683,44.13,-124.23,
联苯,Diphenyl,C12H10,C1(C2=CC=CC=C2)=CC=CC=C1,0,1.04,48.1,68.93,
2-甲基联苯,2-methylbiphenyl,C13H12,CC1=CC=CC=C1C2=CC=CC=C2,0,1.0113,40.19 ,-0.2,
"2,4,6-三甲基联苯","1,3,5-trimethyl-2-phenylbenzene",C15H16,CC1=CC(C)=C(C2=CC=CC=C2)C(C)=C1,0,0.964,40.93 ,63.17,
4-戊基联苯,4-Pentylbiphenyl,C17H20,CCCCCC(C=C1)=CC=C1C2=CC=CC=C2,0,0.943,41.48 ,10,
二苯基甲烷,Diphenylmethane,C13H12,C1(CC2=CC=CC=C2)=CC=CC=C1,0,1.001,40.19 ,25.4,
"1,1-二苯乙烷","1,1-Diphenylethane",C14H14,CC(C1=CC=CC=C1)C2=CC=CC=C2,0,0.9997,40.59 ,-17.9,
"1,2-二苯乙烷","1,2-Diphenylethane",C14H14,C1(CCC2=CC=CC=C2)=CC=CC=C1,0,0.978,40.59 ,52.5,
"2,2-二苯丙烷","2,2-Diphenylpropane",C15H16,CC(C1=CC=CC=C1)(C2=CC=CC=C2)C,0,0.998,40.93 ,282.5,
"1,1-联苯基丁烷","1,1-Diphenylbutane",C16H18,CCCC(C1=CC=CC=C1)C2=CC=CC=C2,0,0.9928,41.22 ,27,
"1,2-联苯基丁烷","1,2-Diphenylbutane",C16H18,CCC(C1=CC=CC=C1)CC2=CC=CC=C2,0,0.9673,41.22 ,-3.29,
4-苄基-1，1'-联苯,"4-Benzyl-1,1’-bipheny",C19H16,C1(CC2=CC=C(C3=CC=CC=C3)C=C2)=CC=CC=C1,0,1.171,39.84 ,85,
1，1'-联萘,"1,1’-Binaphthyl",C20H14,C12=CC=CC=C1C(C3=CC=CC4=CC=CC=C43)=CC=C2,0,1.3,39.12 ,160,
萘,naphthalene,C10H8,C12=CC=CC=C1C=CC=C2,0,1.0253,39.51 ,81,
1-甲基萘,1-Methylnaphthalene ,C11H10,CC1=C(C=CC=C2)C2=CC=C1,0,1.0202,40.08 ,-30.43,
"1,2-二甲基萘","1,2-methy-naphthalene",C12H12,CC1=C(C=CC=C2)C2=CC=C1C,0,1.001,40.55 ,0.8,
"1,3-二甲基萘","1,3-Dimethylnaphthalene",C12H12,CC1=CC(C)=C2C=CC=CC2=C1,0,1.0144,40.55 ,-6,
"1,4-二甲基萘","1,4-Dimethylnaphthalene",C12H12,CC1=C2C=CC=CC2=C(C)C=C1,0,1.0166,40.55 ,7.6,
"1,5-二甲基萘","1,5-Dimethylnaphthalene",C12H12,CC1=C(C=CC=C2C)C2=CC=C1,0,1,40.55 ,82,
"1,6-二甲基萘","1,6-Dimethylnaphthalene",C12H12,CC1=CC2=CC=CC(C)=C2C=C1,0,1.002,40.55 ,-16.9,
"1,7-二甲基萘","1,7-Dimethylnaphthalene",C12H12,CC1=CC2=C(C)C=CC=C2C=C1,0,1.0115,40.55 ,-13.9,
"1,8-二甲基萘","1,8-Dimethylnaphthalene",C12H12,CC1=CC=CC2=CC=CC(C)=C12,0,1.003,40.55 ,65,
